index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
428,ghsl_9558_cell_00428,Residential,Civic,0.5542,0.139,0.4152,"Civicx3, Residentialx1"
537,ghsl_9558_cell_00537,Residential,Civic,0.5542,0.139,0.4152,"Civicx3, Residentialx1"
802,ghsl_9558_cell_00802,Office,Residential,0.5474,0.1593,0.3881,"Residentialx2, Officex1"
806,ghsl_9558_cell_00806,Civic,Residential,0.5209,0.1329,0.388,"Residentialx3, Civicx1"
97,ghsl_9558_cell_00097,Utility,Civic,0.4411,0.0597,0.3814,"Civicx2, Residentialx1, Industrialx1"
174,ghsl_9558_cell_00174,Civic,Residential,0.4411,0.0597,0.3814,"Residentialx2, Industrialx1, Commercialx1"
465,ghsl_9558_cell_00465,Civic,Residential,0.5188,0.1413,0.3775,"Residentialx3, Civicx1"
654,ghsl_9558_cell_00654,Commercial,Civic,0.4322,0.0585,0.3737,"Civicx2, Utilityx1, Residentialx1"
394,ghsl_9558_cell_00394,Utility,Industrial,0.4234,0.0573,0.3661,"Industrialx2, Residentialx1, Civicx1"
606,ghsl_9558_cell_00606,Civic,Residential,0.4234,0.0573,0.3661,"Residentialx2, Commercialx1, Industrialx1"
682,ghsl_9558_cell_00682,Industrial,Civic,0.4234,0.0573,0.3661,"Civicx2, Residentialx1, Utilityx1"
995,ghsl_9558_cell_00995,Commercial,Residential,0.4188,0.0567,0.3621,"Residentialx1, Industrialx1"
295,ghsl_9558_cell_00295,Industrial,Residential,0.4145,0.0561,0.3584,"Residentialx2, Commercialx1, Civicx1"
336,ghsl_9558_cell_00336,Commercial,Residential,0.4145,0.0561,0.3584,"Residentialx2, Civicx1, Officex1"
337,ghsl_9558_cell_00337,Office,Residential,0.4145,0.0561,0.3584,"Residentialx2, Commercialx1, Civicx1"
347,ghsl_9558_cell_00347,Residential,Industrial,0.4145,0.0561,0.3584,"Industrialx2, Commercialx1, Civicx1"
351,ghsl_9558_cell_00351,Commercial,Residential,0.4145,0.0561,0.3584,"Residentialx2, Industrialx1, Utilityx1"
540,ghsl_9558_cell_00540,Commercial,Residential,0.4145,0.0561,0.3584,"Residentialx2, Industrialx1, Civicx1"
687,ghsl_9558_cell_00687,Civic,Utility,0.4145,0.0561,0.3584,"Utilityx2, Commercialx1, Residentialx1"
717,ghsl_9558_cell_00717,Utility,Civic,0.4145,0.0561,0.3584,"Civicx2, Industrialx1, Residentialx1"
723,ghsl_9558_cell_00723,Utility,Residential,0.4145,0.0561,0.3584,"Residentialx2, Civicx1, Officex1"
776,ghsl_9558_cell_00776,Industrial,Residential,0.4145,0.0561,0.3584,"Residentialx2, Utilityx1, Civicx1"
201,ghsl_9558_cell_00201,Civic,Residential,0.51,0.1528,0.3572,"Residentialx3, Civicx1"
609,ghsl_9558_cell_00609,Residential,Civic,0.51,0.1528,0.3572,"Civicx3, Residentialx1"
902,ghsl_9558_cell_00902,Industrial,Residential,0.5065,0.1539,0.3526,"Residentialx3, Industrialx1"
564,ghsl_9558_cell_00564,Industrial,Residential,0.4987,0.1465,0.3523,"Residentialx2, Industrialx1"
824,ghsl_9558_cell_00824,Residential,Office,0.5319,0.1813,0.3506,"Officex2, Residentialx1"
825,ghsl_9558_cell_00825,Utility,Residential,0.5319,0.1813,0.3506,"Residentialx2, Utilityx1"
