index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
627,ghsl_7599_cell_00627,Industrial,Residential,0.8427,0.0843,0.7584,"Residentialx3, Industrialx1"
620,ghsl_7599_cell_00620,Utility,Civic,0.7814,0.025,0.7565,"Civicx3, Utilityx1"
538,ghsl_7599_cell_00538,Commercial,Residential,0.8219,0.0672,0.7547,"Residentialx3, Commercialx1"
526,ghsl_7599_cell_00526,Civic,Residential,0.8411,0.0868,0.7543,"Residentialx3, Civicx1"
258,ghsl_7599_cell_00258,Civic,Residential,0.8401,0.0871,0.753,"Residentialx3, Civicx1"
286,ghsl_7599_cell_00286,Commercial,Residential,0.7785,0.0277,0.7508,"Residentialx3, Industrialx1"
333,ghsl_7599_cell_00333,Commercial,Residential,0.773,0.0297,0.7432,"Residentialx3, Industrialx1"
722,ghsl_7599_cell_00722,Commercial,Residential,0.8087,0.0732,0.7356,"Residentialx3, Commercialx1"
139,ghsl_7599_cell_00139,Residential,Industrial,0.8154,0.0817,0.7336,Industrialx2
342,ghsl_7599_cell_00342,Industrial,Residential,0.8175,0.0931,0.7244,"Residentialx3, Industrialx1"
479,ghsl_7599_cell_00479,Commercial,Residential,0.7476,0.0254,0.7221,"Residentialx2, Industrialx1"
346,ghsl_7599_cell_00346,Civic,Residential,0.7683,0.0478,0.7205,"Residentialx3, Industrialx1"
60,ghsl_7599_cell_00060,Industrial,Residential,0.8155,0.1002,0.7152,"Residentialx3, Industrialx1"
222,ghsl_7599_cell_00222,Industrial,Residential,0.815,0.1001,0.7149,"Residentialx3, Industrialx1"
299,ghsl_7599_cell_00299,Civic,Residential,0.8161,0.1017,0.7143,"Residentialx3, Civicx1"
647,ghsl_7599_cell_00647,Industrial,Residential,0.7673,0.0581,0.7092,"Residentialx2, Utilityx1"
619,ghsl_7599_cell_00619,Civic,Residential,0.7699,0.0616,0.7083,"Residentialx2, Utilityx1"
474,ghsl_7599_cell_00474,Civic,Residential,0.7584,0.0593,0.6992,"Utilityx2, Residentialx2"
398,ghsl_7599_cell_00398,Civic,Residential,0.7553,0.0585,0.6968,"Residentialx2, Commercialx1"
675,ghsl_7599_cell_00675,Residential,Industrial,0.7817,0.094,0.6878,Industrialx1
203,ghsl_7599_cell_00203,Civic,Residential,0.7459,0.059,0.6869,"Residentialx2, Utilityx1, Industrialx1"
110,ghsl_7599_cell_00110,Residential,Industrial,0.7728,0.089,0.6837,"Industrialx3, Greenx1"
344,ghsl_7599_cell_00344,Green,Residential,0.6852,0.016,0.6691,"Residentialx2, Civicx1"
467,ghsl_7599_cell_00467,Civic,Residential,0.7244,0.0582,0.6662,"Residentialx2, Utilityx1, Industrialx1"
641,ghsl_7599_cell_00641,Commercial,Civic,0.7024,0.0413,0.6611,"Civicx2, Utilityx1"
533,ghsl_7599_cell_00533,Commercial,Industrial,0.6905,0.0302,0.6603,"Industrialx2, Civicx1"
458,ghsl_7599_cell_00458,Industrial,Residential,0.7286,0.0685,0.6601,"Residentialx2, Utilityx2"
670,ghsl_7599_cell_00670,Industrial,Residential,0.7775,0.1181,0.6594,"Residentialx3, Industrialx1"
313,ghsl_7599_cell_00313,Utility,Industrial,0.6951,0.0412,0.6539,"Industrialx2, Utilityx1"
202,ghsl_7599_cell_00202,Utility,Residential,0.6603,0.0088,0.6515,"Civicx1, Residentialx1"
494,ghsl_7599_cell_00494,Civic,Residential,0.7754,0.1249,0.6505,"Residentialx2, Civicx1"
528,ghsl_7599_cell_00528,Utility,Residential,0.6566,0.01,0.6467,"Residentialx1, Commercialx1"
482,ghsl_7599_cell_00482,Civic,Industrial,0.6904,0.0447,0.6458,"Industrialx3, Residentialx1"
397,ghsl_7599_cell_00397,Commercial,Residential,0.6763,0.031,0.6453,"Residentialx2, Civicx1, Industrialx1"
646,ghsl_7599_cell_00646,Utility,Residential,0.6613,0.0275,0.6338,"Residentialx2, Industrialx1, Utilityx1"
681,ghsl_7599_cell_00681,Industrial,Residential,0.7558,0.1405,0.6152,"Residentialx2, Industrialx1"
274,ghsl_7599_cell_00274,Commercial,Residential,0.7099,0.0949,0.615,"Residentialx2, Utilityx1, Commercialx1"
464,ghsl_7599_cell_00464,Industrial,Residential,0.6759,0.0641,0.6119,"Residentialx2, Commercialx1"
49,ghsl_7599_cell_00049,Residential,Civic,0.7077,0.1031,0.6046,"Civicx3, Industrialx1"
548,ghsl_7599_cell_00548,Utility,Residential,0.6062,0.0104,0.5958,"Commercialx2, Residentialx2"
97,ghsl_7599_cell_00097,Industrial,Residential,0.7377,0.1423,0.5954,"Residentialx3, Industrialx1"
600,ghsl_7599_cell_00600,Utility,Residential,0.6053,0.0138,0.5915,"Greenx1, Residentialx1"
701,ghsl_7599_cell_00701,Industrial,Residential,0.7217,0.1303,0.5914,"Residentialx2, Utilityx1, Industrialx1"
687,ghsl_7599_cell_00687,Industrial,Residential,0.7181,0.1299,0.5882,"Residentialx2, Industrialx1, Utilityx1"
443,ghsl_7599_cell_00443,Commercial,Residential,0.6285,0.0423,0.5862,"Residentialx2, Civicx1, Utilityx1"
661,ghsl_7599_cell_00661,Utility,Residential,0.6129,0.0297,0.5831,"Residentialx2, Utilityx1, Industrialx1"
351,ghsl_7599_cell_00351,Civic,Residential,0.7423,0.1605,0.5819,"Residentialx2, Civicx1"
389,ghsl_7599_cell_00389,Civic,Residential,0.7126,0.1309,0.5817,"Residentialx2, Commercialx1, Civicx1"
319,ghsl_7599_cell_00319,Civic,Residential,0.7083,0.1338,0.5745,"Residentialx2, Civicx1, Greenx1"
453,ghsl_7599_cell_00453,Green,Industrial,0.5959,0.0223,0.5735,"Industrialx2, Commercialx1"
5,ghsl_7599_cell_00005,Agricultural,Residential,0.6628,0.0902,0.5726,"Residentialx1, Agriculturalx1"
706,ghsl_7599_cell_00706,Civic,Residential,0.6503,0.0808,0.5695,"Residentialx2, Utilityx1, Commercialx1"
465,ghsl_7599_cell_00465,Green,Residential,0.6988,0.1304,0.5685,"Greenx1, Residentialx1"
633,ghsl_7599_cell_00633,Utility,Residential,0.663,0.0949,0.568,"Residentialx2, Utilityx2"
434,ghsl_7599_cell_00434,Utility,Residential,0.5777,0.0122,0.5654,"Residentialx2, Civicx1, Commercialx1"
718,ghsl_7599_cell_00718,Commercial,Residential,0.6779,0.1144,0.5636,"Residentialx2, Utilityx1, Commercialx1"
714,ghsl_7599_cell_00714,Utility,Residential,0.5737,0.0129,0.5608,"Residentialx2, Industrialx1, Commercialx1"
45,ghsl_7599_cell_00045,Green,Residential,0.5728,0.0129,0.5599,"Industrialx1, Residentialx1"
34,ghsl_7599_cell_00034,Civic,Residential,0.626,0.0748,0.5512,"Residentialx2, Industrialx1, Officex1"
35,ghsl_7599_cell_00035,Office,Civic,0.5533,0.0038,0.5496,"Civicx2, Utilityx1, Residentialx1"
270,ghsl_7599_cell_00270,Civic,Residential,0.5815,0.0447,0.5368,"Residentialx2, Industrialx2"
292,ghsl_7599_cell_00292,Industrial,Residential,0.6658,0.1341,0.5317,"Residentialx2, Civicx1, Industrialx1"
663,ghsl_7599_cell_00663,Utility,Industrial,0.5977,0.0736,0.5242,"Utilityx1, Industrialx1"
530,ghsl_7599_cell_00530,Utility,Residential,0.5308,0.0132,0.5176,"Residentialx2, Commercialx2"
634,ghsl_7599_cell_00634,Utility,Residential,0.6209,0.1062,0.5147,"Residentialx2, Utilityx2"
511,ghsl_7599_cell_00511,Civic,Residential,0.6486,0.1347,0.5139,"Residentialx2, Civicx1, Commercialx1"
602,ghsl_7599_cell_00602,Utility,Civic,0.5327,0.0411,0.4917,"Civicx2, Residentialx1, Utilityx1"
